Sl.no,Vehicle Number,Country,Latt/lang,Coordinates,Latitude,Longitude,Population_Density,GDP_PPP
2281,DL0085,TOGO ,"(6.262987,1.218253)","6.262987,1.218253",6.262987,1.218253,131,682572.5
2282,DR4469,TOGO,"(6.249744,1.123415)","6.249744,1.123415",6.249744,1.123415,223,472786.3
2283,DR9104,TOGO,"(6.249807,1.123277)","6.249807,1.123277",6.249807,1.123277,223,472786.3
2284,DL5725,TOGO ,"(6.163239,1.221937)","6.163239,1.221937",6.163239,1.221937,223,7939256.0
2285,DR5452,TOGO,"(6.23901,1.164092)","6.23901,1.164092",6.23901,1.164092,223,2482552.2
2286,DR5425,TOGO,"(6.246745,1.173099)","6.246745,1.173099",6.246745,1.173099,223,1650312.6
2287,DR5645,TOGO,"(6.18677,1.136157)","6.18677,1.136157",6.18677,1.136157,193,3598585.2
2288,DR4496,TOGO,"(6.135447,1.210253)","6.135447,1.210253",6.135447,1.210253,223,8257845.0
2289,DP6164,TOGO,"(6.173385,1.365235)","6.173385,1.365235",6.173385,1.365235,255,5005093.0
2290,DO6693,TOGO,"(6.210896,1.439507)","6.210896,1.439507",6.210896,1.439507,158,555565.06
2291,DR5466,TOGO,"(6.21804,1.19419)","6.21804,1.19419",6.21804,1.19419,223,4011125.5
2292,DP3541,TOGO,"(6.167573,1.313898)","6.167573,1.313898",6.167573,1.313898,255,8328413.5
2293,DP0866,TOGO ,"(6.193183,1.166002)","6.193183,1.166002",6.193183,1.166002,193,4114228.0
2294,DK7304,TOGO ,"(6.192451,1.268475)","6.192451,1.268475",6.192451,1.268475,223,5165992.0
2295,DR1769,TOGO,"(6.150967,1.260128)","6.150967,1.260128",6.150967,1.260128,223,8043924.5
2296,DR9151,TOGO,"(6.19039,1.39244)","6.19039,1.39244",6.19039,1.39244,255,4583441.0
2297,DR5646,TOGO,"(6.194533,1.199982)","6.194533,1.199982",6.194533,1.199982,193,4519108.5
2298,DM0334,TOGO ,"(6.20726,1.187585)","6.20726,1.187585",6.20726,1.187585,223,4779426.0
2299,DL2949,TOGO,"(6.261167,1.201217)","6.261167,1.201217",6.261167,1.201217,131,2239202.5
2300,DR4599,Togo ,"(6.258452,1.157343)","6.258452,1.157343",6.258452,1.157343,223,545384.25
2301,DK9251,TOGO ,"(6.23748,1.213078)","6.23748,1.213078",6.23748,1.213078,131,4298475.0
2302,DM0159,TOGO ,"(6.246333,1.170255)","6.246333,1.170255",6.246333,1.170255,223,1650312.6
2303,DR3877,TOGO,"(6.240278,1.181355)","6.240278,1.181355",6.240278,1.181355,223,2869315.8
2304,DR6782,TOGO,"(6.18228,1.365052)","6.18228,1.365052",6.18228,1.365052,255,8176083.0
2305,DS0115,TOGO,"(6.181056,1.364501)","6.181056,1.364501",6.181056,1.364501,255,8176083.0
2306,DL0159,TOGO ,"(6.14819,1.206888)","6.14819,1.206888",6.14819,1.206888,223,9342061.0
2307,DL6869,TOGO ,"(6.191243,1.243455)","6.191243,1.243455",6.191243,1.243455,223,7944532.0
2308,DS0152,TOGO,"(6.225094,1.212003)","6.225094,1.212003",6.225094,1.212003,131,4734318.5
2309,DM0152,TOGO ,"(6.156307,1.260548)","6.156307,1.260548",6.156307,1.260548,223,8043924.5
2310,DR8407,TOGO,"(6.181975,1.356638)","6.181975,1.356638",6.181975,1.356638,255,8083349.0
2311,DK7303,TOGO ,"(6.198102,1.105657)","6.198102,1.105657",6.198102,1.105657,193,226463.56
2312,DP9509,TOGO,"(6.326788,1.214788)","6.326788,1.214788",6.326788,1.214788,129,727924.75
2313,DN5998,TOGO,"(6.324806,1.214847)","6.324806,1.214847",6.324806,1.214847,129,418233.06
2314,DS0068,TOGO,"(6.221938,1.181132)","6.221938,1.181132",6.221938,1.181132,223,4032280.8
2315,DR4467,TOGO,"(6.247107,1.165812)","6.247107,1.165812",6.247107,1.165812,223,2265393.2
2316,DM3227,TOGO,"(6.246632,1.171407)","6.246632,1.171407",6.246632,1.171407,223,1650312.6
2317,DR9123,TOGO,"(6.199735,1.136722)","6.199735,1.136722",6.199735,1.136722,193,3920736.8
2318,DP3470,TOGO,"(6.12176,1.20212)","6.12176,1.20212",6.12176,1.20212,223,8459693.0
2319,DS2013,TOGO,"(6.175881,1.275745)","6.175881,1.275745",6.175881,1.275745,223,6924028.5
2320,DO9234,TOGO,"(6.1808,1.36455)","6.1808,1.36455",6.1808,1.36455,255,8176083.0
2321,DO7022,TOGO,"(6.144023,1.208225)","6.144023,1.208225",6.144023,1.208225,223,9342061.0
2322,DL2836,TOGO ,"(6.144,1.208215)","6.144,1.208215",6.144,1.208215,223,9342061.0
2323,DM0146,TOGO ,"(6.18759,1.191953)","6.18759,1.191953",6.18759,1.191953,193,4763339.0
2324,DS8465,Togo ,"(6.15102,1.206437)","6.15102,1.206437",6.15102,1.206437,223,9648100.0
2325,DL4244,TOGO ,"(6.160847,1.20707)","6.160847,1.20707",6.160847,1.20707,223,7419761.5
2326,DS0327,TOGO,"(6.17817,1.362558)","6.17817,1.362558",6.17817,1.362558,255,8176083.0
2327,DM0137,TOGO ,"(6.206488,1.14459)","6.206488,1.14459",6.206488,1.14459,223,3187537.0
2328,DS1690,TOGO,"(6.209094,1.145478)","6.209094,1.145478",6.209094,1.145478,223,959910.4
2329,DL2951,TOGO ,"(6.140757,1.253842)","6.140757,1.253842",6.140757,1.253842,223,7653281.0
2330,DO9092,TOGO,"(6.151713,1.243088)","6.151713,1.243088",6.151713,1.243088,223,6958666.5
2331,DO7402,TOGO,"(6.197655,1.109514)","6.197655,1.109514",6.197655,1.109514,193,587516.7
2332,DN0780,TOGO,"(6.16882,1.165179)","6.16882,1.165179",6.16882,1.165179,193,7493468.5
2333,DL5713,TOGO ,"(6.261125,1.201427)","6.261125,1.201427",6.261125,1.201427,131,2239202.5
2334,DR8386,TOGO,"(6.232632,1.21047)","6.232632,1.21047",6.232632,1.21047,131,4734318.5
2335,DN5866,TOGO,"(6.236088,1.13286)","6.236088,1.13286",6.236088,1.13286,223,1059056.2
2336,DL6920,TOGO ,"(6.228348,1.173947)","6.228348,1.173947",6.228348,1.173947,223,1136184.1
2337,DN5984,TOGO,"(6.228484,1.170985)","6.228484,1.170985",6.228484,1.170985,223,1136184.1
2338,DR4598,Togo ,"(6.256941,1.20091)","6.256941,1.20091",6.256941,1.20091,131,4127800.2
2339,DR4487,TOGO,"(6.164841,1.270189)","6.164841,1.270189",6.164841,1.270189,223,8323222.5
2340,DN0681,TOGO,"(6.213515,1.237025)","6.213515,1.237025",6.213515,1.237025,131,4411313.5
2341,DG2463,TOGO,"(6.360215,2.343473)","6.360215,2.343473",6.360215,2.343473,231,5257753.0
2342,DL0114,TOGO ,"(6.40276,1.208275)","6.40276,1.208275",6.40276,1.208275,129,352446.38
2343,DR9234,TOGO,"(6.162862,1.257652)","6.162862,1.257652",6.162862,1.257652,223,6857775.0
2344,DM3332,TOGO,"(6.198808,1.166338)","6.198808,1.166338",6.198808,1.166338,193,4114228.0
2345,DS8471,Togo ,"(6.14893,1.260145)","6.14893,1.260145",6.14893,1.260145,223,8195075.5
2346,DR8385,TOGO,"(6.262032,1.201183)","6.262032,1.201183",6.262032,1.201183,131,2239202.5
2347,DP6153,TOGO,"(6.263233,1.217878)","6.263233,1.217878",6.263233,1.217878,131,682572.5
2348,DL1838,TOGO ,"(6.23821,1.124657)","6.23821,1.124657",6.23821,1.124657,223,1736503.5
2349,DO6921,TOGO,"(6.247093,1.203091)","6.247093,1.203091",6.247093,1.203091,131,4733409.0
